Test Plan Run Key,Test Plan Run Name,Test Case Result Key,Test Suite Name,Test Suite Key,Test Suite Description,Test Case Name,Test Case Key,Test Case Estimate,Test Case Result Status,Step Key,Step Description,Step Expected Result,Step Sequence,Step Result Status,Step Result Elapsed,Step Result Reason for Status
2,Initial Experiment Management,11,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Edit Experiment,11,,Pass,21,<p>Click &quot;Edit Experiment&quot;</p><p>Input Experiment Name &quot;Effect of Blackberry juice&quot;</p><p>Input Experiment Description &quot;&quot;</p><p>Click Save</p>,<p>Experiment updated</p><p>Display Success Message</p>,1,Pass,0,
2,Initial Experiment Management,12,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Cancel Edit Experiment,12,,Pass,22,<p>Click Edit Experiment</p>,<p>Display Experiment Name and Description in dialog Edit Experiment</p>,1,Pass,0,
2,Initial Experiment Management,12,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Cancel Edit Experiment,12,,Pass,24,<p>Click cancel</p>,<p>Dialog Edit Experiment Closed</p>,2,Pass,0,
2,Initial Experiment Management,13,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Edit Experiment Invalid,13,,Pass,23,<p>Click &quot;Edit Experiment&quot;</p><p>Input Experiment Name &quot;&quot;</p><p>Input Experiment Description &quot;&quot;</p>,<p>Save button dissabled</p>,1,Pass,0,
2,Initial Experiment Management,14,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Display Test,14,,Pass,25,<p>Click in &quot;Locomotor Activity Test&quot; test</p>,<p>Display Edit Test Dialog with test&#39;s data</p>,1,Pass,0,
2,Initial Experiment Management,15,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",New Group,15,,Pass,26,<p>Click New Group</p>,<p>Display New Group Dialog</p>,1,Pass,0,
2,Initial Experiment Management,15,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",New Group,15,,Pass,27,<p>Input Group Name &quot;Veh&quot;</p><p>Input Group Description &quot;Vehicle&quot;</p><p>Click Add Subjects</p>,<p>Move step to subjects&nbsp;</p>,2,Pass,0,
2,Initial Experiment Management,15,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",New Group,15,,Pass,28,<p>Add Subjet &quot;Subject 1&quot;</p>,<p>&quot;Subject 1&quot; added to table</p>,3,Pass,0,
2,Initial Experiment Management,15,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",New Group,15,,Pass,29,<p>Click &quot;Save&quot;</p>,<p>Group &quot;Veh&quot; saved in the database and associated with &quot;Subject 1&quot;</p><p>Success message displayed</p>,4,Pass,0,
2,Initial Experiment Management,16,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Delete Test,17,,Pass,31,<p>Click in &quot;Locomotor Activity Test&quot; test</p>,<p>Display Edit Test Dialog with test&#39;s data</p>,1,Pass,0,
2,Initial Experiment Management,16,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Delete Test,17,,Pass,32,<p>Click Delete</p>,"<p>&quot;Locomotor Activity Test&quot; &nbsp;removed from the database, as well as every behavior and evaluation associated with it.</p>",2,Pass,0,
2,Initial Experiment Management,17,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Display Group,18,,Pass,33,<p>Click in &quot;Veh Group&quot;</p>,<p>Display Edit Group Dialog with group&#39;s data</p>,1,Pass,0,
